date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-09,1327.0,217185.0,243.0,30201.0,36091.0,709766.0,21.947732046738647,499.5052415550519,11739.076099386211
2020-05-10,1083.0,218268.0,194.0,30395.0,31384.0,741150.0,17.912127962786702,502.7138775890137,12258.14740500403
2020-05-11,802.0,219070.0,165.0,30560.0,25823.0,766973.0,13.264567521842045,505.44287215398117,12685.243324101944
2020-05-12,744.0,219814.0,179.0,30739.0,39620.0,806593.0,12.305284583853469,508.40341777294594,13340.532806914141
2020-05-13,1402.0,221216.0,172.0,30911.0,37049.0,843642.0,23.188184121723875,511.24818786491204,13953.299592595844
2020-05-14,888.0,222104.0,195.0,31106.0,41131.0,884773.0,14.686952567825108,514.4733632598736,14633.580049878743
2020-05-15,992.0,223096.0,262.0,31368.0,39027.0,923800.0,16.407046111804625,518.8066758418221,15279.061691618057
2020-05-16,789.0,223885.0,242.0,31610.0,40657.0,964457.0,13.049555828844605,522.8092012037744,15951.502491787049
2020-05-17,875.0,224760.0,153.0,31763.0,33505.0,997962.0,14.471940874827668,525.3397234367443,16505.65378208545
2020-05-18,675.0,225435.0,145.0,31908.0,26101.0,1024063.0,11.164068674867059,527.7379307817157,16937.34764354131
2020-05-19,451.0,225886.0,99.0,32007.0,40226.0,1064289.0,7.459251810911176,529.3753275206961,17602.659979119388
2020-05-20,813.0,226699.0,162.0,32169.0,38617.0,1102906.0,13.44650049283988,532.0547040026643,18241.36048284878
2020-05-21,665.0,227364.0,161.0,32330.0,40644.0,1143550.0,10.998675064869028,534.7175411236326,18913.586271324777
2020-05-22,642.0,228006.0,156.0,32486.0,42987.0,1186537.0,10.618269761873558,537.2976814396019,19624.56378262331
2020-05-23,652.0,228658.0,130.0,32616.0,42579.0,1229116.0,10.783663371871588,539.4477983695763,20328.793234633926
2020-05-24,669.0,229327.0,119.0,32735.0,34206.0,1263322.0,11.064832508868239,541.4159823285528,20894.538616993188
2020-05-25,531.0,229858.0,50.0,32785.0,20676.0,1283998.0,8.78240069089542,542.242950378543,21236.506445025116
2020-05-26,300.0,230158.0,92.0,32877.0,33944.0,1317942.0,4.961808299940915,543.7645715905248,21797.91851480243
2020-05-27,397.0,230555.0,78.0,32955.0,37299.0,1355241.0,6.56612631692181,545.0546417485095,22414.820140734086
2020-05-28,584.0,231139.0,117.0,33072.0,39838.0,1395079.0,9.65898682388498,546.9897469854865,23073.71520424424
2020-05-29,593.0,231732.0,70.0,33142.0,38233.0,1433312.0,9.807841072883209,548.1475022554727,23706.064593349707
2020-05-30,516.0,232248.0,87.0,33229.0,36051.0,1469363.0,8.534310275898374,549.5864266624556,24302.325096753608
2020-05-31,416.0,232664.0,111.0,33340.0,28948.0,1498311.0,6.880374175918068,551.4222957334337,24781.106518975907
2020-06-01,355.0,233019.0,75.0,33415.0,18053.0,1516364.0,5.871473154930083,552.6627478084189,25079.69160310535
2020-06-02,178.0,233197.0,60.0,33475.0,25628.0,1541992.0,2.9440062579649426,553.6551094684071,25503.562346808303
2020-06-03,318.0,233515.0,55.0,33530.0,20035.0,1562027.0,5.25951679793737,554.5647743233963,25834.928444439356
2020-06-04,321.0,233836.0,71.0,33601.0,27451.0,1589478.0,5.309134880936779,555.7390689543822,26288.95044324495
2020-06-05,177.0,234013.0,88.0,33689.0,40470.0,1629948.0,2.92746689696514,557.1945327223649,26958.29838290698
2020-06-06,518.0,234531.0,85.0,33774.0,34036.0,1663984.0,8.567388997897979,558.6003784073482,27521.232073896277
2020-06-07,270.0,234801.0,72.0,33846.0,27894.0,1691878.0,4.465627469946823,559.791212399334,27982.581009624784
2020-06-08,197.0,234998.0,53.0,33899.0,16301.0,1708179.0,3.2582541169612007,560.6677985323236,28252.189133282573
2020-06-09,280.0,235278.0,65.0,33964.0,32200.0,1740379.0,4.631021079944854,561.7428569973108,28784.75655747623
2020-06-10,283.0,235561.0,79.0,34043.0,37865.0,1778244.0,4.680639162944263,563.0494665162952,29411.019461733773
2020-06-11,202.0,235763.0,71.0,34114.0,32991.0,1811235.0,3.340950921960216,564.2237611472813,29956.669520478277
2020-06-12,379.0,236142.0,53.0,34167.0,37651.0,1848886.0,6.268417818925355,565.1003472802707,30579.39300148186
2020-06-13,163.0,236305.0,56.0,34223.0,32880.0,1881766.0,2.695915842967897,566.0265514962598,31123.207191155383
2020-06-14,346.0,236651.0,78.0,34301.0,29545.0,1911311.0,5.722618905931855,567.3166216542444,31611.862611894565
2020-06-15,338.0,236989.0,44.0,34345.0,17463.0,1928774.0,5.5903040179334305,568.0443535382358,31900.689473034126
2020-06-16,301.0,237290.0,26.0,34371.0,27762.0,1956536.0,4.978347660940718,568.4743769242306,32359.85521311066
2020-06-17,210.0,237500.0,34.0,34405.0,33957.0,1990493.0,3.47326580995864,569.0367151982239,32921.48229458097
2020-06-18,328.0,237828.0,43.0,34448.0,32921.0,2023414.0,5.4249104079354,569.7479077212155,33465.97459805549
2020-06-19,331.0,238159.0,66.0,34514.0,28570.0,2051984.0,5.4745284909348095,570.8395055472024,33938.50414181986
2020-06-20,-148.0,238011.0,47.0,34561.0,29875.0,2081859.0,-2.447825427970851,571.6168555141932,34432.61755168898
2020-06-21,264.0,238275.0,49.0,34610.0,24581.0,2106440.0,4.366391303948005,572.4272842031835,34839.17158442514
2020-06-22,224.0,238499.0,24.0,34634.0,16152.0,2122592.0,3.704816863955883,572.8242288671788,35106.31534329395
2020-06-23,221.0,238720.0,23.0,34657.0,23225.0,2145817.0,3.655198780956474,573.2046341701742,35490.44200251438
2020-06-24,113.0,238833.0,18.0,34675.0,30237.0,2176054.0,1.8689477929777445,573.5023426681707,35990.542661065425
2020-06-25,577.0,239410.0,-31.0,34644.0,29421.0,2205475.0,9.54321129688636,572.9896224771768,36477.14720104063
2020-06-26,296.0,239706.0,34.0,34678.0,28331.0,2233806.0,4.895650855941702,573.5519607511701,36945.72383752605
2020-06-27,255.0,239961.0,30.0,34708.0,29721.0,2263527.0,4.217537054949777,574.0481415811643,37437.2901858012
2020-06-28,175.0,240136.0,8.0,34716.0,21183.0,2284710.0,2.894388174965534,574.1804564691627,37787.64346986003
2020-06-29,174.0,240310.0,22.0,34738.0,15484.0,2300194.0,2.8778488139657306,574.5443224111583,38043.73893558097
2020-06-30,126.0,240436.0,6.0,34744.0,28471.0,2328665.0,2.083959485975184,574.6435585771571,38514.63108260637
2020-07-01,142.0,240578.0,23.0,34767.0,29325.0,2357990.0,2.348589261972033,575.0239638801526,38999.647843925595
2020-07-02,182.0,240760.0,21.0,34788.0,29147.0,2387137.0,3.010163701964155,575.3712904611485,39481.72059898685
2020-07-03,201.0,240961.0,30.0,34818.0,25680.0,2412817.0,3.324411560960413,575.8674712911426,39906.45138946179
2020-07-04,223.0,241184.0,15.0,34833.0,28946.0,2441763.0,3.68827750295608,576.1155617061396,40385.19973296209
2020-07-05,235.0,241419.0,21.0,34854.0,21166.0,2462929.0,3.8867498349537164,576.4628882871355,40735.27184788392
2020-07-06,192.0,241611.0,7.0,34861.0,13771.0,2476700.0,3.1755573119621854,576.5786638141341,40963.035388212214
2020-07-07,208.0,241819.0,8.0,34869.0,22490.0,2499190.0,3.440187087959034,576.7109787021325,41335.005617097784
2020-07-08,137.0,241956.0,30.0,34899.0,28679.0,2527869.0,2.2658924569730177,577.2071595321266,41809.337951211135
2020-07-09,193.0,242149.0,15.0,34914.0,29947.0,2557816.0,3.1920966729619886,577.4552499471237,42304.642195072236
2020-07-10,214.0,242363.0,12.0,34926.0,27251.0,2585067.0,3.5394232539578527,577.6537222791213,42755.35632167787
2020-07-11,276.0,242639.0,12.0,34938.0,25449.0,2610516.0,4.564863635945642,577.852194611119,43176.266519761855
2020-07-12,188.0,242827.0,7.0,34945.0,23061.0,2633577.0,3.1093998679629733,577.9679701381176,43557.680723778314
2020-07-13,234.0,243061.0,9.0,34954.0,14006.0,2647583.0,3.8702104739539136,578.1168243871158,43789.331013941555
2020-07-14,169.0,243230.0,13.0,34967.0,24222.0,2671805.0,2.7951520089667152,578.3318360801132,44189.94741607879
2020-07-15,114.0,243344.0,17.0,34984.0,28392.0,2700197.0,1.8854871539775475,578.6130052171098,44659.53295358519
2020-07-16,162.0,243506.0,13.0,34997.0,28089.0,2728286.0,2.679376481968094,578.8280169101073,45124.10706470866
2020-07-17,230.0,243736.0,20.0,35017.0,28661.0,2756947.0,3.8040530299547015,579.1588041301034,45598.14169032402
2020-07-18,231.0,243967.0,11.0,35028.0,27569.0,2784516.0,3.8205923909545043,579.3407371011012,46054.11533372759
2020-07-19,249.0,244216.0,14.0,35042.0,20621.0,2805137.0,4.11830088895096,579.5722881550985,46395.17349690453
2020-07-20,218.0,244434.0,3.0,35045.0,14121.0,2819258.0,3.605580697957065,579.6219062380978,46628.72581358274
2020-07-21,190.0,244624.0,13.0,35058.0,23915.0,2843173.0,3.1424785899625793,579.8369179310953,47024.264631893035
2020-07-22,128.0,244752.0,15.0,35073.0,29288.0,2872461.0,2.1170382079747903,580.0850083460923,47508.66943685526
2020-07-23,280.0,245032.0,9.0,35082.0,33018.0,2905479.0,4.631021079944854,580.2338625950906,48054.766058346766
2020-07-24,306.0,245338.0,10.0,35092.0,28970.0,2934449.0,5.061044465939733,580.3992562050886,48533.91134651106
2020-07-25,252.0,245590.0,5.0,35097.0,28059.0,2962508.0,4.167918971950368,580.4819530100876,48997.98927680453
2020-07-26,274.0,245864.0,5.0,35102.0,25177.0,2987685.0,4.531784913946035,580.5646498150867,49414.40076869657
2020-07-27,254.0,246118.0,5.0,35107.0,19374.0,3007059.0,4.200997693949975,580.6473466200856,49734.834348706754
2020-07-28,168.0,246286.0,5.0,35112.0,25341.0,3032400.0,2.7786126479669124,580.7300434250847,50153.95829580277
2020-07-29,202.0,246488.0,11.0,35123.0,30875.0,3063275.0,3.340950921960216,580.9119763960825,50664.611066671685
2020-07-30,288.0,246776.0,6.0,35129.0,33396.0,3096671.0,4.763335967943278,581.0112125620814,51216.95956662111
2020-07-31,382.0,247158.0,3.0,35132.0,29686.0,3126357.0,6.318035901924765,581.0608306450807,51707.94703726126
2020-08-01,379.0,247537.0,9.0,35141.0,31905.0,3158262.0,6.268417818925355,581.2096848940789,52235.63534995998
2020-08-02,295.0,247832.0,5.0,35146.0,24496.0,3182758.0,4.8791114949419,581.292381699078,52640.78353701116
2020-08-03,238.0,248070.0,8.0,35154.0,13467.0,3196225.0,3.9363679179531257,581.4246965870764,52863.5191115955
2020-08-04,159.0,248229.0,12.0,35166.0,23491.0,3219716.0,2.629758398968685,581.623168919074,53252.04524084187
2020-08-05,190.0,248419.0,5.0,35171.0,29739.0,3249455.0,3.1424785899625793,581.7058657240731,53743.90929761502
2020-08-06,384.0,248803.0,10.0,35181.0,32169.0,3281624.0,6.351114623924371,581.871259334071,54275.964001617685
2020-08-07,401.0,249204.0,6.0,35187.0,30392.0,3312016.0,6.632283760921022,581.9704955000699,54778.6282611237
2020-08-08,552.0,249756.0,3.0,35190.0,26631.0,3338647.0,9.129727271891284,582.0201135830694,55219.08798390945
2020-08-09,347.0,250103.0,13.0,35203.0,22773.0,3361420.0,5.739158266931658,582.2351252760667,55595.73885195797
2020-08-10,463.0,250566.0,2.0,35205.0,10904.0,3372324.0,7.657724142908812,582.2682039980664,55776.084044299816
2020-08-11,259.0,250825.0,4.0,35209.0,22063.0,3394387.0,4.283694498948989,582.3343614420655,56140.99196603848
